3.360173056000000000e+09,-4.454324140318906555e-01,-6.407926060668114876e-02,-9.315154256072112615e-02,2.199253650372254287e-01
6.881662011146545410e-01,nan,nan,nan,nan
6.084369421005249023e-01,nan,nan,nan,nan
6.976563930511474609e-01,nan,nan,nan,nan
2.353460937738418579e-01,5.481335290998899934e-01,7.658539899262897244e-01,4.747010219894031158e-01,8.162582567363612096e-01
2.715237736701965332e-01,3.169886388790174037e-01,7.970337870863245522e-01,3.716824092893929454e-01,7.350383755403040453e-01
5.632258653640747070e-01,-2.098966174863365619e-01,-1.604339581954744853e-01,-3.051403584849299300e-01,-1.533224832584171859e-01
1.435066342353820801e+00,nan,nan,nan,nan
6.432054638862609863e-01,nan,nan,nan,nan
1.171048879623413086e-01,3.751232212000138455e-01,8.794705155104873828e-01,5.149267163765967048e-01,7.617514562029776837e-01
1.718098372220993042e-01,4.283533099961256418e-01,8.480853875024533250e-01,5.689713755622983760e-01,7.845689752132408712e-01
8.946919441223144531e-01,4.947341713034772437e-02,-1.452538371325210950e-02,1.687534129029801683e-02,-6.193628475190873089e-02
1.565288901329040527e-01,4.117106152104607619e-01,8.015916650698020618e-01,4.971272083724931345e-01,7.730203625841960413e-01
3.792165517807006836e-01,3.851038689901289391e-01,5.360915484558765876e-01,2.527914841155852188e-01,5.553485554636576893e-01
5.818631052970886230e-01,4.128914020777631477e-01,1.225024538740064201e-01,1.089373571048849326e-01,-1.374493118642414538e-02
1.380917429924011230e-01,5.932529647841362497e-01,9.123836764579398295e-01,5.435964789119225316e-01,8.571733640176890656e-01
6.900860071182250977e-01,nan,nan,nan,nan
1.854075044393539429e-01,3.550864654090412076e-01,7.748014228154075367e-01,4.295749317487168595e-01,7.315336234543792227e-01
1.422967672348022461e+00,nan,nan,nan,nan
6.827317476272583008e-01,nan,nan,nan,nan
6.085420846939086914e-01,nan,nan,nan,nan
1.724014453125000000e+04,-5.414997796432858418e-02,-5.741884154920932209e-02,-1.266653605400132332e-01,5.789429081272980115e-02
8.523281216621398926e-01,nan,nan,nan,nan
6.085979938507080078e-01,nan,nan,nan,nan
1.682073632812500000e+04,3.394694808671861463e-01,-2.564211965605737165e-01,1.007642109195414359e-01,-3.618800257523728248e-01
8.973403573036193848e-01,nan,nan,nan,nan
1.618986010551452637e+00,nan,nan,nan,nan
7.112453579902648926e-01,nan,-1.244336742666908677e-04,nan,-1.709983813156094878e-02
1.955291777849197388e-01,1.922516190490478893e-01,8.670482610569802961e-01,5.230837499924999578e-01,8.869447814585902368e-01
3.267019689083099365e-01,1.973720119508647064e-01,6.102905115569929873e-01,2.867665970763272343e-01,4.385564640075620968e-01
9.739654064178466797e-01,1.114743959732426848e-02,nan,3.435821952815739516e-02,nan
1.049776747822761536e-01,6.859935772949995458e-01,8.626538272354067338e-01,6.846793601688048181e-01,8.274470090759316054e-01
1.512009501457214355e-01,6.793755736262298006e-01,9.149015792749973786e-01,6.520828445276155572e-01,8.122268084045307646e-01
6.046665310859680176e-01,nan,nan,nan,nan
1.688615977764129639e-01,4.575208425129693168e-01,8.296598909750916295e-01,5.040522232458188867e-01,5.309912113974093462e-01
1.997267752885818481e-01,4.067433667875481884e-01,8.552117429545706973e-01,3.137119775670880739e-01,7.401058203523815937e-01
1.175068974494934082e+00,nan,nan,nan,nan
7.337605953216552734e-01,-2.156269804890856637e-02,-1.879606864102289776e-01,3.435821952815739516e-02,nan
8.659430742263793945e-01,nan,nan,nan,nan
6.455472707748413086e-01,nan,nan,nan,nan
