2.00E+01,7.00E+00,5.00E+00,4.75E-02,1.70E-01,9.30E-01,5.37E-01
5.00E+01,7.00E+00,7.00E+00,3.66E-02,1.74E-01,9.39E-01,5.60E-01
1.00E+02,7.00E+00,1.10E+01,2.90E-02,1.91E-01,9.44E-01,6.62E-01
2.50E+02,7.00E+00,1.10E+01,3.23E-02,1.95E-01,9.49E-01,5.15E-01
5.00E+02,7.00E+00,7.00E+00,3.89E-02,1.92E-01,9.37E-01,5.52E-01
1.00E+03,7.00E+00,7.00E+00,3.17E-02,2.05E-01,9.45E-01,4.67E-01
2.00E+03,7.00E+00,5.00E+00,2.94E-02,2.59E-01,9.42E-01,4.04E-01
1.00E+00,1.00E+01,9.00E+00,7.52E-01,3.09E-01,nan,nan
2.00E+00,1.00E+01,2.00E+00,5.21E-01,3.87E-01,nan,nan
5.00E+00,1.00E+01,2.00E+00,5.12E-01,4.08E-01,nan,nan
1.00E+01,1.00E+01,8.00E+00,7.52E-02,1.79E-01,9.41E-01,5.64E-01
2.00E+01,1.00E+01,1.80E+01,5.86E-02,1.57E-01,9.58E-01,6.26E-01
5.00E+01,1.00E+01,9.00E+00,4.54E-02,1.54E-01,9.35E-01,6.96E-01
1.00E+02,1.00E+01,6.00E+00,3.89E-02,1.77E-01,9.25E-01,6.86E-01
2.50E+02,1.00E+01,4.00E+00,4.18E-02,1.84E-01,9.34E-01,6.34E-01
5.00E+02,1.00E+01,5.00E+00,3.66E-02,2.07E-01,9.33E-01,5.60E-01
1.00E+03,1.00E+01,1.20E+01,2.95E-02,1.68E-01,9.46E-01,6.02E-01
2.00E+03,1.00E+01,1.10E+01,2.41E-02,2.83E-01,9.53E-01,2.07E-01
1.00E+00,1.20E+01,9.00E+00,7.52E-01,3.09E-01,nan,nan
2.00E+00,1.20E+01,1.00E+00,5.28E-01,3.96E-01,3.89E-01,2.31E-05
5.00E+00,1.20E+01,3.00E+00,5.18E-01,3.91E-01,nan,nan
1.00E+01,1.20E+01,1.40E+01,6.26E-02,1.58E-01,9.49E-01,6.26E-01
2.00E+01,1.20E+01,6.00E+00,3.70E-02,1.89E-01,9.44E-01,5.52E-01
5.00E+01,1.20E+01,1.00E+01,4.45E-02,2.02E-01,9.38E-01,5.32E-01
1.00E+02,1.20E+01,3.00E+00,6.92E-02,1.87E-01,9.29E-01,6.15E-01
2.50E+02,1.20E+01,4.00E+00,3.63E-02,2.31E-01,9.34E-01,4.40E-01
5.00E+02,1.20E+01,3.00E+00,3.40E-02,2.46E-01,9.32E-01,3.77E-01
1.00E+03,1.20E+01,6.00E+00,3.20E-02,2.04E-01,9.43E-01,5.26E-01
2.00E+03,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+00,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+00,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+00,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.50E+02,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+02,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+03,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+03,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+01,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+01,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+01,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+02,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.50E+02,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+02,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+00,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+00,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+00,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+01,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+01,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+01,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+02,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.50E+02,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+02,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E+03,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.00E+03,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
